round,loss,dice,iou,precision,accuracy,recall
0,0.2001435228655289,0.799856477134471,0.6893399357052243,0.736710612404988,0.9969736125823918,0.8979985169726863
1,0.1977865271878735,0.8022134728121264,0.7043156570853878,0.8692240413783492,0.9978288312146889,0.755020309663416
2,0.203647054077749,0.796352945922251,0.7009602801686977,0.8986598651243773,0.9979119953507534,0.7274281873813921
3,0.16826387067790627,0.8317361293220936,0.7444195980016317,0.8074441105394187,0.9981006870880416,0.8622221553733308
4,0.16382705085481242,0.8361729491451878,0.7356857153954504,0.9568412644625216,0.99788786634887,0.7515536209236329
5,0.16379018109240737,0.8362098189075924,0.7554031680777238,0.8593960996671616,0.9982904087217513,0.8336879128164382
6,0.17043610026500883,0.8295638997349911,0.7317665839373926,0.9295073494728442,0.9980591234110168,0.7614152360938821
7,0.14010473163165663,0.8598952683683433,0.7803629917910713,0.9164159438913122,0.9983755590866292,0.8154549838237951
8,0.15145185174878023,0.8485481482512197,0.7646848399828787,0.8868550173620369,0.9983751544844632,0.824826731741769
9,0.13678323502179404,0.863216764978206,0.7837538958738421,0.8658543132459998,0.9983695268361583,0.8647523741650439
